Instruction, , , , , , , , , , Result, Operator, (, Operand, ), Actual Value(s),,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:MultipolicyDiscount.Optional Coverage, ," ""(1", false, false, false, false, false," false) = 1""",,,,,
, , CONTINUE, , , , , , , , , ×, , table:EmployeeDiscount, ," ""(false"," 1) = 1""",,,,,,,,,,
, BaseRate, , , , , , , , ,27.748, ?, , CostData.BaseRate, ,27.748,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , RatingInfo.IRPMFactor, ,1,,,,,,,,,,,
, AdjustedRate, , , , , , , , ,27.748, ?, , CostData.BaseRate, ,27.748,,,,,,,,,,,
, TermAmount, , , , , , , , ,27.75, ?, , CostData.BaseRate, ,27.748,,,,,,,,,,,
, , CONTINUE, , , , , , , , , R, ,0.01, ,27.75,,,,,,,,,,,
Coverage O - Farm Outbuildings and Structures - Water, , , , , , , , , , , , , , , ,,,,,,,,,,,
, FRM_RB_INDIANA (1), , , , , , , , , , , , , , ,,,,,,,,,,,
, Cov_O_Water (1), , , , , , , , , , , , , , ,,,,,,,,,,,
, AcreageFactor, , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
, AcreageFactor, , , , , , , , ,1, ?, , table:Acreage.Water, ," ""(1", <<57,57>>," Cov O) = 1""",,,,,,,,
, ConstructionFactor, , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
, RoofFactor, , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
, PolicySizeFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, SmartCameraFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, SmartSmokeAlarmFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, SmartLightFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, AutTempDetFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, WaterLeakgDetFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, GasLeakgDetFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, GeneratorFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, IFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, JFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, KFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, MFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, NFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, OFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, ADFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, QFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, XFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, CFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, CRFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, MaxCreditPerPeril, , , , , , , , ,0.2, ?, , table:ProtectiveDevices.Water, ," ""(1", Max," Cov O) = 0.2""",,,,,,,,,
, AllDiscount, , , , , , , , ,0, ?, , IFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , JFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , KFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , MFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , NFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , OFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , QFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , SmartCameraFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , SmartSmokeAlarmFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , SmartLightFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , AutTempDetFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , GeneratorFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , WaterLeakgDetFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , GasLeakgDetFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , ADFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , XFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , CFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , CRFactor, ,0,,,,,,,,,,,
, FinalFactor, , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ?, ," ""min(AllDiscount"," MaxCreditPerPeril)""", ," ""min(0"," 0.2) = 0""",,,,,,,,,
, PolicySizeFactor, , , , , , , , ,0.30176, ?, , table:PolicySizeRelativity.Water, ," ""(1",30176," Cov O) = 0.30176""",,,,,,,,,
, ConstructionFactor, , , , , , , , ,1, ?, , table:Construction Materials for All.Water, ," ""(1", Cov O," Frame (ISO 1)) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Sq Feet Stories.Water, ," ""(<<950",950>>, Cov O," 1) = 1""",,,,,,,,
, RoofFactor, , , , , , , , ,1, ?, , table:AoR.Water, ," ""(1", Cov O,1, Metal, <<6,6>>, false," false) = 1""",,,,
, , CONTINUE, , , , , , , , , ×, , table:RoofExclusion.Water, ," ""(1", Cov O," false) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:ACVRoof.Water, ," ""(1", false, Cov O, <<6,"6>>) = 1""",,,,,,,
, BaseRate, , , , , , , , , 0.18063000429010878781440000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, ?, , table:BaseRate.Water, ," ""(1"," Cov O) = 0.78""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Territory Relativities.Water, ," ""(1", Cov O," 46063) = 0.867""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Wind Hail Exclusion.Water, , (false) = 1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Distance To Coast.Water, ," ""(46063", <<999.990,"999.990>>) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , AcreageFactor, ,1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Farm_Type.Water, ," ""(1", Crops," Cov O) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Structure Type.Water, ," ""(1"," OneStoryLayer) = 1""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Credit.Water, ," ""(1", <<731,731>>," Cov O) = 0.989""",,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Protection Class.Water, ," ""(1",10," Cov O) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Miles To Fire Department.Water, ," ""(1", Over10Miles," Cov O) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , ConstructionFactor, ,1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Hay Storage & Open Sides.Water, ," ""(false", <<0,"0>>) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Confinement.Water, ," ""(true", false, false, true, Outside, false," false) = 1""",,,,,
, , CONTINUE, , , , , , , , , ×, , table:Brooder_Heater.Water, , (false) = 1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Perils.Water, ," ""(1", Broad," Cov O) = 1.05""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Age Of Structure.Water, ," ""(1", Confinement, <<6,"6>>) = 0.91""",,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:MultipolicyDiscount.Water, ," ""(1", false, false, false, false, false," false) = 1""",,,,,
, , CONTINUE, , , , , , , , , ×, , FinalFactor, ,1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , PolicySizeFactor, ,0.30176,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , CoverageInfo.CovModLimit, ,0.9757,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Brushfire.Water, ," ""(1", <<0,"0>>) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:SolidFuel.Water, ," ""(1", Cov O, false, false, false," false) = 1""",,,,,,
, , CONTINUE, , , , , , , , , ×, , table:All Perils Deductible.Water, ," ""(1", Cov O,1000, <<30176,"30176>>) = 0.96""",,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:WHDeductible.Water, ," ""(1", false, Cov O,1000, <<30176,30176>>," 1) = 1""",,,,,
, , CONTINUE, , , , , , , , , ×, , table:EmployeeDiscount, ," ""(false"," 1) = 1""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , RoofFactor, ,1,,,,,,,,,,,
, BaseRate, , , , , , , , ,0.1806, ?, , CostData.BaseRate, ,0.1806,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , RatingInfo.IRPMFactor, ,1,,,,,,,,,,,
, BaseRate, , , , , , , , ,0.1806, ?, , CostData.BaseRate, ,0.1806,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , table:Fixed Expense.Water, ," ""(1"," Cov O) = 0""",,,,,,,,,,
, AdjustedRate, , , , , , , , ,0.1806, ?, , CostData.BaseRate, ,0.1806,,,,,,,,,,,
, TermAmount, , , , , , , , ,0.18, ?, , CostData.BaseRate, ,0.1806,,,,,,,,,,,
, , CONTINUE, , , , , , , , , R, ,0.01, ,0.18,,,,,,,,,,,
Contract Growers Coverage, , , , , , , , , , , , , , , ,,,,,,,,,,,
, FRM_RB_INDIANA (1), , , , , , , , , , , , , , ,,,,,,,,,,,
, ContractGrowers (1), , , , , , , , , , , , , , ,,,,,,,,,,,
, Result1, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, Result2, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, Result3, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, BaseRate, , , , , , , , ,1.6847, ?, , table:Endorse_CovG, ," ""(FRMContGrowersCov"," null) = 1.7""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Endorsement Loss, , (0) = 1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Credit.Optional Coverage, ," ""(4", <<731,731>>," Optional) = 0.991""",,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:MultipolicyDiscount.Optional Coverage, ," ""(4", false, false, false, false, false," false) = 1""",,,,,
, , CONTINUE, , , , , , , , , ×, , table:EmployeeDiscount, ," ""(false"," 4) = 1""",,,,,,,,,,
, BaseRate, , , , , , , , ,1.6847, ?, , CostData.BaseRate, ,1.6847,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , RatingInfo.IRPMFactor, ,1,,,,,,,,,,,
, Result1, , , , , , , , ,65, ?, (, RatingInfo.PoultryLimit, ,50000,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ÷, ,1000, ),1000,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Poultry Charge, , (true) = 1.3,,,,,,,,,,,
, Result2, , , , , , , , ,50, ?, (, RatingInfo.OtherThanPoultryLimit, ,50000,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ÷, ,1000, ),1000,,,,,,,,,,,
, Result3, , , , , , , , ,115, ?, (, Result1, ,65,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , Result2, ),50,,,,,,,,,,,
, BaseRate, , , , , , , , ,193.7405, ?, , CostData.BaseRate, ,1.6847,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , Result3, ,115,,,,,,,,,,,
, AdjustedRate, , , , , , , , ,193.7405, ?, , CostData.BaseRate, ,193.7405,,,,,,,,,,,
, TermAmount, , , , , , , , ,193.74, ?, , CostData.AdjustedRate, ,193.7405,,,,,,,,,,,
, , CONTINUE, , , , , , , , , R, ,0.01, ,193.74,,,,,,,,,,,
Coverage O - Farm Outbuildings and Structures - Hail, , , , , , , , , , , , , , , ,,,,,,,,,,,
, FRM_RB_INDIANA (1), , , , , , , , , , , , , , ,,,,,,,,,,,
, Cov_O_Hail (1), , , , , , , , , , , , , , ,,,,,,,,,,,
, ConstructionFactor, , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
, AcreageFactor, , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
, RoofFactor, , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
, PolicySizeFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, SmartCameraFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, SmartSmokeAlarmFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, SmartLightFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, AutTempDetFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, WaterLeakgDetFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, GasLeakgDetFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, GeneratorFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, IFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, JFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, KFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, MFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, NFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, OFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, ADFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, QFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, XFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, CFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, CRFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, MaxCreditPerPeril, , , , , , , , ,0.2, ?, , table:ProtectiveDevices.Hail, ," ""(1", Max," Cov O) = 0.2""",,,,,,,,,
, AcreageFactor, , , , , , , , ,1, ?, , table:Acreage.Hail, ," ""(1", <<57,57>>," Cov O) = 1""",,,,,,,,
, AllDiscount, , , , , , , , ,0, ?, , IFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , JFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , KFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , MFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , NFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , OFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , QFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , SmartCameraFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , SmartSmokeAlarmFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , SmartLightFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , AutTempDetFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , GeneratorFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , WaterLeakgDetFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , GasLeakgDetFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , ADFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , XFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , CFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , CRFactor, ,0,,,,,,,,,,,
, FinalFactor, , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ?, ," ""min(AllDiscount"," MaxCreditPerPeril)""", ," ""min(0"," 0.2) = 0""",,,,,,,,,
, PolicySizeFactor, , , , , , , , ,0.30176, ?, , table:PolicySizeRelativity.Hail, ," ""(1",30176," Cov O) = 0.30176""",,,,,,,,,
, ConstructionFactor, , , , , , , , ,1, ?, , table:Construction Materials for All.Hail, ," ""(1", Cov O," Frame (ISO 1)) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Sq Feet Stories.Hail, ," ""(<<950",950>>, Cov O," 1) = 1""",,,,,,,,
, RoofFactor, , , , , , , , ,0.778, ?, , table:AoR.Hail, ," ""(1", Cov O,1, Metal, <<6,6>>, false," false) = 0.778""",,,,
, , CONTINUE, , , , , , , , , ×, , table:RoofExclusion.Hail, ," ""(1", Cov O," false) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:ACVRoof.Hail, ," ""(1", false, Cov O, <<6,"6>>) = 1""",,,,,,,
, BaseRate, , , , , , , , , 48.292961990590638000358398720000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, ?, , table:BaseRate.Hail, ," ""(1"," Cov O) = 261.38""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Territory Relativities.Hail, ," ""(1", Cov O," 46063) = 0.857""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Wind Hail Exclusion.Hail, , (false) = 1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Distance To Coast.Hail, ," ""(46063", <<999.990,"999.990>>) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , AcreageFactor, ,1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Farm_Type.Hail, ," ""(1", Crops," Cov O) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Structure Type.Hail, ," ""(1"," OneStoryLayer) = 1""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Credit.Hail, ," ""(1", <<731,731>>," Cov O) = 0.999""",,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Protection Class.Hail, ," ""(1",10," Cov O) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Miles To Fire Department.Hail, ," ""(1", Over10Miles," Cov O) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , ConstructionFactor, ,1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Hay Storage & Open Sides.Hail, ," ""(false", <<0,"0>>) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Confinement.Hail, ," ""(true", false, false, true, Outside, false," false) = 1""",,,,,
, , CONTINUE, , , , , , , , , ×, , table:Brooder_Heater.Hail, , (false) = 1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Perils.Hail, ," ""(1", Broad," Cov O) = 1.05""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Age Of Structure.Hail, ," ""(1", Confinement, <<6,"6>>) = 0.91""",,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:MultipolicyDiscount.Hail, ," ""(1", false, false, false, false, false," false) = 1""",,,,,
, , CONTINUE, , , , , , , , , ×, , FinalFactor, ,1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , PolicySizeFactor, ,0.30176,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , CoverageInfo.CovModLimit, ,0.9757,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Brushfire.Hail, ," ""(1", <<0,"0>>) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:SolidFuel.Hail, ," ""(1", Cov O, false, false, false," false) = 1""",,,,,,
, , CONTINUE, , , , , , , , , ×, , table:All Perils Deductible.Hail, ," ""(1", Cov O,1000, <<30176,"30176>>) = 1""",,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:WHDeductible.Hail, ," ""(1", false, Cov O,1000, <<30176,30176>>," 1) = 0.986""",,,,,
, , CONTINUE, , , , , , , , , ×, , table:EmployeeDiscount, ," ""(false"," 1) = 1""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Confinement.Hail, ," ""(true", false, false, true, Outside, false," false) = 1""",,,,,
, , CONTINUE, , , , , , , , , ×, , RoofFactor, ,0.778,,,,,,,,,,,
, BaseRate, , , , , , , , ,48.293, ?, , CostData.BaseRate, ,48.293,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , RatingInfo.IRPMFactor, ,1,,,,,,,,,,,
, BaseRate, , , , , , , , ,48.293, ?, , CostData.BaseRate, ,48.293,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , table:Fixed Expense.Hail, ," ""(1"," Cov O) = 0""",,,,,,,,,,
, AdjustedRate, , , , , , , , ,48.293, ?, , CostData.BaseRate, ,48.293,,,,,,,,,,,
, TermAmount, , , , , , , , ,48.29, ?, , CostData.BaseRate, ,48.293,,,,,,,,,,,
, , CONTINUE, , , , , , , , , R, ,0.01, ,48.29,,,,,,,,,,,
Earthquake Coverage, , , , , , , , , , , , , , , ,,,,,,,,,,,
, FRM_RB_INDIANA (1), , , , , , , , , , , , , , ,,,,,,,,,,,
, structure_earthquake (1), , , , , , , , , , , , , , ,,,,,,,,,,,
, BaseRate, , , , , , , , ,15.25, ?, , table:EQ_Zip, ," ""(46063", FRMStructureCovO, Frame (ISO 1)," false) = 0.61""",,,,,,,,
, , CONTINUE, , , , , , , , , ×, (, RatingInfo.EnteredFRMStructureCovOLimit, ,25000,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ÷, ,1000, ),1000,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:EQ_Ded, ," ""(10"," Frame (ISO 1)) = 1""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:EmployeeDiscount, ," ""(false"," 1) = 1""",,,,,,,,,,
, AdjustedRate, , , , , , , , ,15.25, ?, , CostData.BaseRate, ,15.25,,,,,,,,,,,
, TermAmount, , , , , , , , ,15.25, ?, , CostData.BaseRate, ,15.25,,,,,,,,,,,
, , CONTINUE, , , , , , , , , R, ,0.01, ,15.25,,,,,,,,,,,
Coverage O - Farm Outbuildings and Structures - Liability, , , , , , , , , , , , , , , ,,,,,,,,,,,
, FRM_RB_INDIANA (1), , , , , , , , , , , , , , ,,,,,,,,,,,
, Cov_O_Liability (1), , , , , , , , , , , , , , ,,,,,,,,,,,
, ConstructionFactor, , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
, RoofFactor, , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
, PolicySizeFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, SmartCameraFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, SmartSmokeAlarmFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, SmartLightFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, AutTempDetFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, WaterLeakgDetFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, GasLeakgDetFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, GeneratorFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, IFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, JFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, KFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, MFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, NFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, OFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, ADFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, QFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, XFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, CFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, CRFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, AcreageFactor, , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
, AcreageFactor, , , , , , , , ,1.19, ?, , table:Acreage.Liability, ," ""(1", <<57,57>>," Cov O) = 1.19""",,,,,,,,
, MaxCreditPerPeril, , , , , , , , ,0.2, ?, , table:ProtectiveDevices.Liability, ," ""(1", Max," Cov O) = 0.2""",,,,,,,,,
, AllDiscount, , , , , , , , ,0, ?, , IFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , JFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , KFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , MFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , NFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , OFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , QFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , SmartCameraFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , SmartSmokeAlarmFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , SmartLightFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , AutTempDetFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , GeneratorFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , WaterLeakgDetFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , GasLeakgDetFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , ADFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , XFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , CFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , CRFactor, ,0,,,,,,,,,,,
, FinalFactor, , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ?, ," ""min(AllDiscount"," MaxCreditPerPeril)""", ," ""min(0"," 0.2) = 0""",,,,,,,,,
, PolicySizeFactor, , , , , , , , ,0.9631056, ?, , table:PolicySizeRelativity.Liability, ," ""(1",30176," Cov O) = 0.9631056""",,,,,,,,,
, ConstructionFactor, , , , , , , , ,1, ?, , table:Construction Materials for All.Liability, ," ""(1", Cov O," Frame (ISO 1)) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Sq Feet Stories.Liability, ," ""(<<950",950>>, Cov O," 1) = 1""",,,,,,,,
, RoofFactor, , , , , , , , ,1, ?, , table:AoR.Liability, ," ""(1", Cov O,1, Metal, <<6,6>>, false," false) = 1""",,,,
, , CONTINUE, , , , , , , , , ×, , table:RoofExclusion.Liability, ," ""(1", Cov O," false) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:ACVRoof.Liability, ," ""(1", false, Cov O, <<6,"6>>) = 1""",,,,,,,
