S.No.,Coverage_Name,Perils,Rating_Factors_Algorithm,Rating_Factors_PC_worksheet,Rating_Factors_Expected
715,Coverage B,Other,Age of Dwelling,table:Dwelling_Age.Other,AOD
716,Coverage B,Other,Dwelling Year Built Factor,table:Dwelling Year Built Factor.Other,DwellYrBuilt
717,Coverage B,Other,"Age of Roof, Roof Construction",table:AoR.Other,AOR
718,Coverage B,Other,Roof Shape,table:RoofShape.Other,RoofShape
719,Coverage B,Other,Roof Exclusion,table:RoofExclusion.Other,RoofExcl
720,Coverage B,Other,Utility Update ,table:Utility.Other,UtilElec
721,Coverage B,Other,Utility Update ,table:Utility.Other,UtilHeat
722,Coverage B,Other,Utility Update ,table:Utility.Other,UtilPlumb
723,Coverage B,Other,Multipolicy Discount,table:MultipolicyDiscount.Other,Multipol
724,Coverage B,Other,Fortified,table:Fortified.Other,Fortified
725,Coverage B,Other,Protective Devices (incl Smart Farm),FinalFactor,ProtDev
726,Coverage B,Other,Wind Mitigation,table:Wind Mitigation.Other,
727,Coverage B,Other,Policy Size Relativity,table:PolicySizeRelativity.Other,CovAPSR
728,Coverage B,Other,Coverage Modification,CoverageInfo.CovModLimit,CovAMod
729,Coverage B,Other,Brushfire,table:Brushfire.Other,
730,Coverage B,Other,Solid Fuel Heating Device Surcharge,table:SolidFuel.Other,SolidFuel
731,Coverage B,Other,Foundation Type,table:FoundationType.Other,Foundation
732,Coverage B,Other,ACV Roof,table:ACVRoof.Other,ACVRoof
733,Coverage B,Other,All Peril Deductible,table:All Perils Deductible.Other,APDed
734,Coverage B,Other,Wind Hail Deductible,table:WHDeductible.Other,WHDed
735,Coverage B,Other,Occupancy,table:Occupancy.Other,Occupancy
736,Coverage B,Other,Employee Discount,table:EmployeeDiscount,EmployDisc
737,Coverage B,Other,IRPM Factor,IFactor,
738,Coverage B,Other,Fixed Expense,table:Fixed Expense.Other,FixedExp
739,Coverage C,Liability,Base Rate,table:BaseRate.Liability,BaseRate
740,Coverage C,Liability,Territory Relativities,table:Territory Relativities.Liability,TerrRel
741,Coverage C,Liability,WindHail Excl,table:Wind Hail Exclusion.Liability,WHExcl
742,Coverage C,Liability,Distance to Coast,table:Distance To Coast.Liability,
743,Coverage C,Liability,Acreage,table:Acreage.Liability,Acres
744,Coverage C,Liability,Farm Type,table:Farm_Type.Liability,FarmType
745,Coverage C,Liability,Credit,table:Credit.Liability,Credit
746,Coverage C,Liability,Protection Class,table:Protection Class.Liability,PC
747,Coverage C,Liability,Miles to Fire Department,table:Miles To Fire Department.Liability,MilesToDept
748,Coverage C,Liability,Construction Type,table:Construction Materials for All.Liability,Constr
749,Coverage C,Liability,Number of Families,table:Number Of Families.Liability,NumFam
750,Coverage C,Liability,TownRowhouse,table:TownRowHouse.Liability,TownRow
751,Coverage C,Liability,Stories and Square Feet,table:Sq Feet Stories.Liability,StorSqFt
752,Coverage C,Liability,Replacement Cost Per Sq Foot,table:Repl Cost Sq Ft.Liability,RPCSqFt
753,Coverage C,Liability,Number of Bathrooms,table:Bathrooms.Liability,NumBaths
754,Coverage C,Liability,Garage Factor,table:Garage Factor.Liability,Garages
755,Coverage C,Liability,Dwelling Claims Factor,,DwellClaims
756,Coverage C,Liability,Farming Claims Factor,table:Farming Claims Factor.Liability,FarmClaims
757,Coverage C,Liability,New Business Loss Experience Factor,,
758,Coverage C,Liability,Pool Liability,table:Pool.Liability,Pool
759,Coverage C,Liability,Trampoline Liability,table:Trampoline.Liability,Trampoline
760,Coverage C,Liability,Perils Factor,table:Perils.Liability,Perils
761,Coverage C,Liability,Age of Dwelling,table:Dwelling_Age.Liability,AOD
762,Coverage C,Liability,Dwelling Year Built Factor,table:Dwelling Year Built Factor.Liability,DwellYrBuilt
763,Coverage C,Liability,"Age of Roof, Roof Construction",table:AoR.Liability,AOR
764,Coverage C,Liability,Roof Shape,table:RoofShape.Liability,RoofShape
765,Coverage C,Liability,Roof Exclusion,table:RoofExclusion.Liability,RoofExcl
766,Coverage C,Liability,Utility Update ,table:Utility.Liability,UtilElec
767,Coverage C,Liability,Utility Update ,table:Utility.Liability,UtilHeat
768,Coverage C,Liability,Utility Update ,table:Utility.Liability,UtilPlumb
769,Coverage C,Liability,Multipolicy Discount,table:MultipolicyDiscount.Liability,Multipol
770,Coverage C,Liability,Fortified,table:Fortified.Liability,Fortified
771,Coverage C,Liability,Protective Devices (incl Smart Farm),FinalFactor,ProtDev
772,Coverage C,Liability,Wind Mitigation,table:Wind Mitigation.Liability,
773,Coverage C,Liability,Policy Size Relativity,table:PolicySizeRelativity.Liability,CovAPSR
774,Coverage C,Liability,Coverage Modification,CoverageInfo.CovModLimit,CovAMod
775,Coverage C,Liability,Brushfire,table:Brushfire.Liability,
776,Coverage C,Liability,Solid Fuel Heating Device Surcharge,table:SolidFuel.Liability,SolidFuel
777,Coverage C,Liability,Foundation Type,table:FoundationType.Liability,Foundation
778,Coverage C,Liability,ACV Roof,table:ACVRoof.Liability,ACVRoof
779,Coverage C,Liability,All Peril Deductible,table:All Perils Deductible.Liability,APDed
780,Coverage C,Liability,Wind Hail Deductible,table:WHDeductible.Liability,WHDed
781,Coverage C,Liability,Occupancy,table:Occupancy.Liability,Occupancy
782,Coverage C,Liability,Employee Discount,table:EmployeeDiscount,EmployDisc
783,Coverage C,Liability,IRPM Factor,IFactor,
784,Coverage C,Liability,Fixed Expense,table:Fixed Expense.Liability,FixedExp
785,Coverage C,Liability,,TermAmount,CovCPrem
,Coverage C,Hail,,TermAmount,CovCPrem
786,Coverage C,Hail,Base Rate,table:BaseRate.Hail,BaseRate
787,Coverage C,Hail,Territory Relativities,table:Territory Relativities.Hail,TerrRel
788,Coverage C,Hail,WindHail Excl,table:Wind Hail Exclusion.Hail,WHExcl
789,Coverage C,Hail,Distance to Coast,table:Distance To Coast.Hail,
790,Coverage C,Hail,Acreage,table:Acreage.Hail,Acres
791,Coverage C,Hail,Farm Type,table:Farm_Type.Hail,FarmType
792,Coverage C,Hail,Credit,table:Credit.Hail,Credit
793,Coverage C,Hail,Protection Class,table:Protection Class.Hail,PC
794,Coverage C,Hail,Miles to Fire Department,table:Miles To Fire Department.Hail,MilesToDept
795,Coverage C,Hail,Construction Type,table:Construction Materials for All.Hail,Constr
796,Coverage C,Hail,Number of Families,table:Number Of Families.Hail,NumFam
797,Coverage C,Hail,TownRowhouse,table:TownRowHouse.Hail,TownRow
798,Coverage C,Hail,Stories and Square Feet,table:Sq Feet Stories.Hail,StorSqFt
799,Coverage C,Hail,Replacement Cost Per Sq Foot,table:Repl Cost Sq Ft.Hail,RPCSqFt
800,Coverage C,Hail,Number of Bathrooms,table:Bathrooms.Hail,NumBaths
801,Coverage C,Hail,Garage Factor,table:Garage Factor.Hail,Garages
802,Coverage C,Hail,Dwelling Claims Factor,,DwellClaims
803,Coverage C,Hail,Farming Claims Factor,table:Farming Claims Factor.Hail,FarmClaims
804,Coverage C,Hail,New Business Loss Experience Factor,,
805,Coverage C,Hail,Pool Liability,table:Pool.Hail,Pool
806,Coverage C,Hail,Trampoline Liability,table:Trampoline.Hail,Trampoline
807,Coverage C,Hail,Perils Factor,table:Perils.Hail,Perils
808,Coverage C,Hail,Age of Dwelling,table:Dwelling_Age.Hail,AOD
809,Coverage C,Hail,Dwelling Year Built Factor,table:Dwelling Year Built Factor.Hail,DwellYrBuilt
810,Coverage C,Hail,"Age of Roof, Roof Construction",table:AoR.Hail,AOR
811,Coverage C,Hail,Roof Shape,table:RoofShape.Hail,RoofShape
812,Coverage C,Hail,Roof Exclusion,table:RoofExclusion.Hail,RoofExcl
813,Coverage C,Hail,Utility Update ,table:Utility.Hail,UtilElec
814,Coverage C,Hail,Utility Update ,table:Utility.Hail,UtilHeat
815,Coverage C,Hail,Utility Update ,table:Utility.Hail,UtilPlumb
816,Coverage C,Hail,Multipolicy Discount,table:MultipolicyDiscount.Hail,Multipol
817,Coverage C,Hail,Fortified,table:Fortified.Hail,Fortified
818,Coverage C,Hail,Protective Devices (incl Smart Farm),FinalFactor,ProtDev
819,Coverage C,Hail,Wind Mitigation,table:Wind Mitigation.Hail,
820,Coverage C,Hail,Policy Size Relativity,table:PolicySizeRelativity.Hail,CovAPSR
821,Coverage C,Hail,Coverage Modification,CoverageInfo.CovModLimit,CovAMod
822,Coverage C,Hail,Brushfire,table:Brushfire.Hail,
823,Coverage C,Hail,Solid Fuel Heating Device Surcharge,table:SolidFuel.Hail,SolidFuel
824,Coverage C,Hail,Foundation Type,table:FoundationType.Hail,Foundation
825,Coverage C,Hail,ACV Roof,table:ACVRoof.Hail,ACVRoof
826,Coverage C,Hail,All Peril Deductible,table:All Perils Deductible.Hail,APDed
827,Coverage C,Hail,Wind Hail Deductible,table:WHDeductible.Hail,WHDed
828,Coverage C,Hail,Occupancy,table:Occupancy.Hail,Occupancy
829,Coverage C,Hail,Employee Discount,table:EmployeeDiscount,EmployDisc
830,Coverage C,Hail,IRPM Factor,IFactor,
831,Coverage C,Hail,Fixed Expense,table:Fixed Expense.Hail,FixedExp
,Coverage C,Water,,TermAmount,CovCPrem
832,Coverage C,Water,Base Rate,table:BaseRate.Water,BaseRate
833,Coverage C,Water,Territory Relativities,table:Territory Relativities.Water,TerrRel
834,Coverage C,Water,WindHail Excl,table:Wind Hail Exclusion.Water,WHExcl
835,Coverage C,Water,Distance to Coast,table:Distance To Coast.Water,
836,Coverage C,Water,Acreage,table:Acreage.Water,Acres
837,Coverage C,Water,Farm Type,table:Farm_Type.Water,FarmType
838,Coverage C,Water,Credit,table:Credit.Water,Credit
839,Coverage C,Water,Protection Class,table:Protection Class.Water,PC
840,Coverage C,Water,Miles to Fire Department,table:Miles To Fire Department.Water,MilesToDept
841,Coverage C,Water,Construction Type,table:Construction Materials for All.Water,Constr
842,Coverage C,Water,Number of Families,table:Number Of Families.Water,NumFam
843,Coverage C,Water,TownRowhouse,table:TownRowHouse.Water,TownRow
844,Coverage C,Water,Stories and Square Feet,table:Sq Feet Stories.Water,StorSqFt
845,Coverage C,Water,Replacement Cost Per Sq Foot,table:Repl Cost Sq Ft.Water,RPCSqFt
846,Coverage C,Water,Number of Bathrooms,table:Bathrooms.Water,NumBaths
847,Coverage C,Water,Garage Factor,table:Garage Factor.Water,Garages
848,Coverage C,Water,Dwelling Claims Factor,,DwellClaims
849,Coverage C,Water,Farming Claims Factor,table:Farming Claims Factor.Water,FarmClaims
850,Coverage C,Water,New Business Loss Experience Factor,,
851,Coverage C,Water,Pool Liability,table:Pool.Water,Pool
852,Coverage C,Water,Trampoline Liability,table:Trampoline.Water,Trampoline
853,Coverage C,Water,Perils Factor,table:Perils.Water,Perils
854,Coverage C,Water,Age of Dwelling,table:Dwelling_Age.Water,AOD
855,Coverage C,Water,Dwelling Year Built Factor,table:Dwelling Year Built Factor.Water,DwellYrBuilt
856,Coverage C,Water,"Age of Roof, Roof Construction",table:AoR.Water,AOR
857,Coverage C,Water,Roof Shape,table:RoofShape.Water,RoofShape
858,Coverage C,Water,Roof Exclusion,table:RoofExclusion.Water,RoofExcl
859,Coverage C,Water,Utility Update ,table:Utility.Water,UtilElec
860,Coverage C,Water,Utility Update ,table:Utility.Water,UtilHeat
861,Coverage C,Water,Utility Update ,table:Utility.Water,UtilPlumb
862,Coverage C,Water,Multipolicy Discount,table:MultipolicyDiscount.Water,Multipol
863,Coverage C,Water,Fortified,table:Fortified.Water,Fortified
864,Coverage C,Water,Protective Devices (incl Smart Farm),FinalFactor,ProtDev
865,Coverage C,Water,Wind Mitigation,table:Wind Mitigation.Water,
866,Coverage C,Water,Policy Size Relativity,table:PolicySizeRelativity.Water,CovAPSR
867,Coverage C,Water,Coverage Modification,CoverageInfo.CovModLimit,CovAMod
868,Coverage C,Water,Brushfire,table:Brushfire.Water,
869,Coverage C,Water,Solid Fuel Heating Device Surcharge,table:SolidFuel.Water,SolidFuel
870,Coverage C,Water,Foundation Type,table:FoundationType.Water,Foundation
871,Coverage C,Water,ACV Roof,table:ACVRoof.Water,ACVRoof
872,Coverage C,Water,All Peril Deductible,table:All Perils Deductible.Water,APDed
873,Coverage C,Water,Wind Hail Deductible,table:WHDeductible.Water,WHDed
874,Coverage C,Water,Occupancy,table:Occupancy.Water,Occupancy
875,Coverage C,Water,Employee Discount,table:EmployeeDiscount,EmployDisc
876,Coverage C,Water,IRPM Factor,IFactor,
877,Coverage C,Water,Fixed Expense,table:Fixed Expense.Water,FixedExp
,Coverage C,Theft,,TermAmount,CovCPrem
878,Coverage C,Theft,Base Rate,table:BaseRate.Theft,BaseRate
879,Coverage C,Theft,Territory Relativities,table:Territory Relativities.Theft,TerrRel
880,Coverage C,Theft,WindHail Excl,table:Wind Hail Exclusion.Theft,WHExcl
881,Coverage C,Theft,Distance to Coast,table:Distance To Coast.Theft,
882,Coverage C,Theft,Acreage,table:Acreage.Theft,Acres
883,Coverage C,Theft,Farm Type,table:Farm_Type.Theft,FarmType
884,Coverage C,Theft,Credit,table:Credit.Theft,Credit
885,Coverage C,Theft,Protection Class,table:Protection Class.Theft,PC
886,Coverage C,Theft,Miles to Fire Department,table:Miles To Fire Department.Theft,MilesToDept
887,Coverage C,Theft,Construction Type,table:Construction Materials for All.Theft,Constr
888,Coverage C,Theft,Number of Families,table:Number Of Families.Theft,NumFam
889,Coverage C,Theft,TownRowhouse,table:TownRowHouse.Theft,TownRow
890,Coverage C,Theft,Stories and Square Feet,table:Sq Feet Stories.Theft,StorSqFt
891,Coverage C,Theft,Replacement Cost Per Sq Foot,table:Repl Cost Sq Ft.Theft,RPCSqFt
892,Coverage C,Theft,Number of Bathrooms,table:Bathrooms.Theft,NumBaths
893,Coverage C,Theft,Garage Factor,table:Garage Factor.Theft,Garages
894,Coverage C,Theft,Dwelling Claims Factor,,DwellClaims
895,Coverage C,Theft,Farming Claims Factor,table:Farming Claims Factor.Theft,FarmClaims
896,Coverage C,Theft,New Business Loss Experience Factor,,
897,Coverage C,Theft,Pool Liability,table:Pool.Theft,Pool
898,Coverage C,Theft,Trampoline Liability,table:Trampoline.Theft,Trampoline
899,Coverage C,Theft,Perils Factor,table:Perils.Theft,Perils
900,Coverage C,Theft,Age of Dwelling,table:Dwelling_Age.Theft,AOD
901,Coverage C,Theft,Dwelling Year Built Factor,table:Dwelling Year Built Factor.Theft,DwellYrBuilt
902,Coverage C,Theft,"Age of Roof, Roof Construction",table:AoR.Theft,AOR
903,Coverage C,Theft,Roof Shape,table:RoofShape.Theft,RoofShape
904,Coverage C,Theft,Roof Exclusion,table:RoofExclusion.Theft,RoofExcl
905,Coverage C,Theft,Utility Update ,table:Utility.Theft,UtilElec
906,Coverage C,Theft,Utility Update ,table:Utility.Theft,UtilHeat
907,Coverage C,Theft,Utility Update ,table:Utility.Theft,UtilPlumb
908,Coverage C,Theft,Multipolicy Discount,table:MultipolicyDiscount.Theft,Multipol
909,Coverage C,Theft,Fortified,table:Fortified.Theft,Fortified
910,Coverage C,Theft,Protective Devices (incl Smart Farm),FinalFactor,ProtDev
911,Coverage C,Theft,Wind Mitigation,table:Wind Mitigation.Theft,
912,Coverage C,Theft,Policy Size Relativity,table:PolicySizeRelativity.Theft,CovAPSR
913,Coverage C,Theft,Coverage Modification,CoverageInfo.CovModLimit,CovAMod
914,Coverage C,Theft,Brushfire,table:Brushfire.Theft,
915,Coverage C,Theft,Solid Fuel Heating Device Surcharge,table:SolidFuel.Theft,SolidFuel
916,Coverage C,Theft,Foundation Type,table:FoundationType.Theft,Foundation
917,Coverage C,Theft,ACV Roof,table:ACVRoof.Theft,ACVRoof
918,Coverage C,Theft,All Peril Deductible,table:All Perils Deductible.Theft,APDed
919,Coverage C,Theft,Wind Hail Deductible,table:WHDeductible.Theft,WHDed
920,Coverage C,Theft,Occupancy,table:Occupancy.Theft,Occupancy
921,Coverage C,Theft,Employee Discount,table:EmployeeDiscount,EmployDisc
922,Coverage C,Theft,IRPM Factor,IFactor,
923,Coverage C,Theft,Fixed Expense,table:Fixed Expense.Theft,FixedExp
,Coverage C,Fire,,TermAmount,CovCPrem
924,Coverage C,Fire,Base Rate,table:BaseRate.Fire,BaseRate
925,Coverage C,Fire,Territory Relativities,table:Territory Relativities.Fire,TerrRel
926,Coverage C,Fire,WindHail Excl,table:Wind Hail Exclusion.Fire,WHExcl
927,Coverage C,Fire,Distance to Coast,table:Distance To Coast.Fire,
928,Coverage C,Fire,Acreage,table:Acreage.Fire,Acres
929,Coverage C,Fire,Farm Type,table:Farm_Type.Fire,FarmType
930,Coverage C,Fire,Credit,table:Credit.Fire,Credit
931,Coverage C,Fire,Protection Class,table:Protection Class.Fire,PC
932,Coverage C,Fire,Miles to Fire Department,table:Miles To Fire Department.Fire,MilesToDept
933,Coverage C,Fire,Construction Type,table:Construction Materials for All.Fire,Constr
934,Coverage C,Fire,Number of Families,table:Number Of Families.Fire,NumFam
935,Coverage C,Fire,TownRowhouse,table:TownRowHouse.Fire,TownRow
936,Coverage C,Fire,Stories and Square Feet,table:Sq Feet Stories.Fire,StorSqFt
937,Coverage C,Fire,Replacement Cost Per Sq Foot,table:Repl Cost Sq Ft.Fire,RPCSqFt
938,Coverage C,Fire,Number of Bathrooms,table:Bathrooms.Fire,NumBaths
939,Coverage C,Fire,Garage Factor,table:Garage Factor.Fire,Garages
940,Coverage C,Fire,Dwelling Claims Factor,,DwellClaims
941,Coverage C,Fire,Farming Claims Factor,table:Farming Claims Factor.Fire,FarmClaims
942,Coverage C,Fire,New Business Loss Experience Factor,,
943,Coverage C,Fire,Pool Liability,table:Pool.Fire,Pool
944,Coverage C,Fire,Trampoline Liability,table:Trampoline.Fire,Trampoline
945,Coverage C,Fire,Perils Factor,table:Perils.Fire,Perils
946,Coverage C,Fire,Age of Dwelling,table:Dwelling_Age.Fire,AOD
947,Coverage C,Fire,Dwelling Year Built Factor,table:Dwelling Year Built Factor.Fire,DwellYrBuilt
948,Coverage C,Fire,"Age of Roof, Roof Construction",table:AoR.Fire,AOR
949,Coverage C,Fire,Roof Shape,table:RoofShape.Fire,RoofShape
950,Coverage C,Fire,Roof Exclusion,table:RoofExclusion.Fire,RoofExcl
951,Coverage C,Fire,Utility Update , table:Utility.Fire,UtilElec
952,Coverage C,Fire,Utility Update , table:Utility.Fire,UtilHeat
953,Coverage C,Fire,Utility Update , table:Utility.Fire,UtilPlumb
954,Coverage C,Fire,Multipolicy Discount,table:MultipolicyDiscount.Fire,Multipol
955,Coverage C,Fire,Fortified,table:Fortified.Fire,Fortified
956,Coverage C,Fire,Protective Devices (incl Smart Farm),FinalFactor,ProtDev
957,Coverage C,Fire,Wind Mitigation,table:Wind Mitigation.Fire,
958,Coverage C,Fire,Policy Size Relativity,table:PolicySizeRelativity.Fire,CovAPSR
959,Coverage C,Fire,Coverage Modification,CoverageInfo.CovModLimit,CovAMod
960,Coverage C,Fire,Brushfire,table:Brushfire.Fire,
961,Coverage C,Fire,Solid Fuel Heating Device Surcharge,table:SolidFuel.Fire,SolidFuel
962,Coverage C,Fire,Foundation Type,table:FoundationType.Fire,Foundation
963,Coverage C,Fire,ACV Roof,table:ACVRoof.Fire,ACVRoof
964,Coverage C,Fire,All Peril Deductible,table:All Perils Deductible.Fire,APDed
965,Coverage C,Fire,Wind Hail Deductible,table:WHDeductible.Fire,WHDed
966,Coverage C,Fire,Occupancy,table:Occupancy.Fire,Occupancy
967,Coverage C,Fire,Employee Discount,table:EmployeeDiscount,EmployDisc
968,Coverage C,Fire,IRPM Factor,IFactor,
969,Coverage C,Fire,Fixed Expense,table:Fixed Expense.Fire,FixedExp
,Coverage C,Hurricane,,TermAmount,CovCPrem
970,Coverage C,Hurricane,Base Rate,table:BaseRate.Hurricane,BaseRate
971,Coverage C,Hurricane,Territory Relativities,table:Territory Relativities.Hurricane,TerrRel
972,Coverage C,Hurricane,WindHail Excl,table:Wind Hail Exclusion.Hurricane,WHExcl
973,Coverage C,Hurricane,Distance to Coast,table:Distance To Coast.Hurricane,
974,Coverage C,Hurricane,Acreage,table:Acreage.Hurricane,Acres
975,Coverage C,Hurricane,Farm Type,table:Farm_Type.Hurricane,FarmType
976,Coverage C,Hurricane,Credit,table:Credit.Hurricane,Credit
977,Coverage C,Hurricane,Protection Class,table:Protection Class.Hurricane,PC
978,Coverage C,Hurricane,Miles to Fire Department,table:Miles To Fire Department.Hurricane,MilesToDept
979,Coverage C,Hurricane,Construction Type,table:Construction Materials for All.Hurricane,Constr
980,Coverage C,Hurricane,Number of Families,table:Number Of Families.Hurricane,NumFam
981,Coverage C,Hurricane,TownRowhouse,table:TownRowHouse.Hurricane,TownRow
982,Coverage C,Hurricane,Stories and Square Feet,table:Sq Feet Stories.Hurricane,StorSqFt
983,Coverage C,Hurricane,Replacement Cost Per Sq Foot,table:Repl Cost Sq Ft.Hurricane,RPCSqFt
984,Coverage C,Hurricane,Number of Bathrooms,table:Bathrooms.Hurricane,NumBaths
985,Coverage C,Hurricane,Garage Factor,table:Garage Factor.Hurricane,Garages
986,Coverage C,Hurricane,Dwelling Claims Factor,,DwellClaims
987,Coverage C,Hurricane,Farming Claims Factor,table:Farming Claims Factor.Hurricane,FarmClaims
988,Coverage C,Hurricane,New Business Loss Experience Factor,,
989,Coverage C,Hurricane,Pool Liability,table:Pool.Hurricane,Pool
990,Coverage C,Hurricane,Trampoline Liability,table:Trampoline.Hurricane,Trampoline
991,Coverage C,Hurricane,Perils Factor,table:Perils.Hurricane,Perils
992,Coverage C,Hurricane,Age of Dwelling,table:Dwelling_Age.Hurricane,AOD
993,Coverage C,Hurricane,Dwelling Year Built Factor,table:Dwelling Year Built Factor.Hurricane,DwellYrBuilt
994,Coverage C,Hurricane,"Age of Roof, Roof Construction",table:AoR.Hurricane,AOR
995,Coverage C,Hurricane,Roof Shape,table:RoofShape.Hurricane,RoofShape
996,Coverage C,Hurricane,Roof Exclusion,table:RoofExclusion.Hurricane,RoofExcl
997,Coverage C,Hurricane,Utility Update ,table:Utility.Hurricane,UtilElec
998,Coverage C,Hurricane,Utility Update ,table:Utility.Hurricane,UtilHeat
999,Coverage C,Hurricane,Utility Update ,table:Utility.Hurricane,UtilPlumb
1000,Coverage C,Hurricane,Multipolicy Discount,table:MultipolicyDiscount.Hurricane,Multipol
1001,Coverage C,Hurricane,Fortified,table:Fortified.Hurricane,Fortified
1002,Coverage C,Hurricane,Protective Devices (incl Smart Farm),FinalFactor,ProtDev
1003,Coverage C,Hurricane,Wind Mitigation,table:Wind Mitigation.Hurricane,
1004,Coverage C,Hurricane,Policy Size Relativity,table:PolicySizeRelativity.Hurricane,CovAPSR
1005,Coverage C,Hurricane,Coverage Modification,CoverageInfo.CovModLimit,CovAMod
1006,Coverage C,Hurricane,Brushfire,table:Brushfire.Hurricane,
1007,Coverage C,Hurricane,Solid Fuel Heating Device Surcharge,table:SolidFuel.Hurricane,SolidFuel
1008,Coverage C,Hurricane,Foundation Type,table:FoundationType.Hurricane,Foundation
1009,Coverage C,Hurricane,ACV Roof,table:ACVRoof.Hurricane,ACVRoof
1010,Coverage C,Hurricane,All Peril Deductible,table:All Perils Deductible.Hurricane,APDed
1011,Coverage C,Hurricane,Wind Hail Deductible,table:WHDeductible.Hurricane,WHDed
1012,Coverage C,Hurricane,Occupancy,table:Occupancy.Hurricane,Occupancy
1013,Coverage C,Hurricane,Employee Discount,table:EmployeeDiscount,EmployDisc
1014,Coverage C,Hurricane,IRPM Factor,IFactor,
1015,Coverage C,Hurricane,Fixed Expense,table:Fixed Expense.Hurricane,FixedExp
,Coverage C,Wind,,TermAmount,CovCPrem
1016,Coverage C,Wind,Base Rate,table:BaseRate.Wind,BaseRate
1017,Coverage C,Wind,Territory Relativities,table:Territory Relativities.Wind,TerrRel
1018,Coverage C,Wind,WindHail Excl,table:Wind Hail Exclusion.Wind,WHExcl
1019,Coverage C,Wind,Distance to Coast,table:Distance To Coast.Wind,
1020,Coverage C,Wind,Acreage,table:Acreage.Wind,Acres
1021,Coverage C,Wind,Farm Type,table:Farm_Type.Wind,FarmType
1022,Coverage C,Wind,Credit,table:Credit.Wind,Credit
1023,Coverage C,Wind,Protection Class,table:Protection Class.Wind,PC
1024,Coverage C,Wind,Miles to Fire Department,table:Miles To Fire Department.Wind,MilesToDept
1025,Coverage C,Wind,Construction Type,table:Construction Materials for All.Wind,Constr
1026,Coverage C,Wind,Number of Families,table:Number Of Families.Wind,NumFam
1027,Coverage C,Wind,TownRowhouse,table:TownRowHouse.Wind,TownRow
1028,Coverage C,Wind,Stories and Square Feet,table:Sq Feet Stories.Wind,StorSqFt
1029,Coverage C,Wind,Replacement Cost Per Sq Foot,table:Repl Cost Sq Ft.Wind,RPCSqFt
1030,Coverage C,Wind,Number of Bathrooms,table:Bathrooms.Wind,NumBaths
1031,Coverage C,Wind,Garage Factor,table:Garage Factor.Wind,Garages
1032,Coverage C,Wind,Dwelling Claims Factor,,DwellClaims
1033,Coverage C,Wind,Farming Claims Factor,table:Farming Claims Factor.Wind,FarmClaims
1034,Coverage C,Wind,New Business Loss Experience Factor,,
1035,Coverage C,Wind,Pool Liability,table:Pool.Wind,Pool
1036,Coverage C,Wind,Trampoline Liability,table:Trampoline.Wind,Trampoline
1037,Coverage C,Wind,Perils Factor,table:Perils.Wind,Perils
1038,Coverage C,Wind,Age of Dwelling,table:Dwelling_Age.Wind,AOD
1039,Coverage C,Wind,Dwelling Year Built Factor,table:Dwelling Year Built Factor.Wind,DwellYrBuilt
1040,Coverage C,Wind,"Age of Roof, Roof Construction",table:AoR.Wind,AOR
1041,Coverage C,Wind,Roof Shape,table:RoofShape.Wind,RoofShape
1042,Coverage C,Wind,Roof Exclusion,table:RoofExclusion.Wind,RoofExcl
1043,Coverage C,Wind,Utility Update ,table:Utility.Wind,UtilElec
1044,Coverage C,Wind,Utility Update ,table:Utility.Wind,UtilHeat
1045,Coverage C,Wind,Utility Update ,table:Utility.Wind,UtilPlumb
1046,Coverage C,Wind,Multipolicy Discount,table:MultipolicyDiscount.Wind,Multipol
1047,Coverage C,Wind,Fortified,table:Fortified.Wind,Fortified
1048,Coverage C,Wind,Protective Devices (incl Smart Farm),FinalFactor,ProtDev
1049,Coverage C,Wind,Wind Mitigation,table:Wind Mitigation.Wind,
1050,Coverage C,Wind,Policy Size Relativity,table:PolicySizeRelativity.Wind,CovAPSR
1051,Coverage C,Wind,Coverage Modification,CoverageInfo.CovModLimit,CovAMod
1052,Coverage C,Wind,Brushfire,table:Brushfire.Wind,
1053,Coverage C,Wind,Solid Fuel Heating Device Surcharge,table:SolidFuel.Wind,SolidFuel
1054,Coverage C,Wind,Foundation Type,table:FoundationType.Wind,Foundation
1055,Coverage C,Wind,ACV Roof,table:ACVRoof.Wind,ACVRoof
1056,Coverage C,Wind,All Peril Deductible,table:All Perils Deductible.Wind,APDed
1057,Coverage C,Wind,Wind Hail Deductible,table:WHDeductible.Wind,WHDed
1058,Coverage C,Wind,Occupancy,table:Occupancy.Wind,Occupancy
1059,Coverage C,Wind,Employee Discount,table:EmployeeDiscount,EmployDisc
1060,Coverage C,Wind,IRPM Factor,IFactor,
1061,Coverage C,Wind,Fixed Expense,table:Fixed Expense.Wind,FixedExp
,Coverage C,Other,,TermAmount,CovCPrem
1062,Coverage C,Other,Base Rate,table:BaseRate.Other,BaseRate
1063,Coverage C,Other,Territory Relativities,table:Territory Relativities.Other,TerrRel
1064,Coverage C,Other,WindHail Excl,table:Wind Hail Exclusion.Other,WHExcl
1065,Coverage C,Other,Distance to Coast,table:Distance To Coast.Other,
1066,Coverage C,Other,Acreage,table:Acreage.Other,Acres
1067,Coverage C,Other,Farm Type,table:Farm_Type.Other,FarmType
1068,Coverage C,Other,Credit,table:Credit.Other,Credit
1069,Coverage C,Other,Protection Class,table:Protection Class.Other,PC
