Instruction, , , , , , , , , , Result, Operator, (, Operand, ), Actual Value(s)
BaseRate, , , , , , , , , , 2.60110000000, ←, , CostData.BaseRate, , 2.6011
, CONTINUE, , , , , , , , , , ×, , RatingInfo.IRPMFactor, , 1
BaseRate, , , , , , , , , , 2.6011000, ←, , CostData.BaseRate, , 2.6011
, CONTINUE, , , , , , , , , , +, , table:Fixed Expense.Water, , "(1, Cov F) = 0"
AdjustedRate, , , , , , , , , , 2.6011, ←, , CostData.BaseRate, , 2.6011
TermAmount, , , , , , , , , , 2.60, ←, , CostData.BaseRate, , 2.6011
, CONTINUE, , , , , , , , , , R, , .01, , 2.60
Scheduled Farm Personal Property ( Grain ) -Wind, , , , , , , , , , , , , , , 
FRM_RB_INDIANA (1), , , , , , , , , , , , , , , 
Cov_F_Wind (1), , , , , , , , , , , , , , , 
PolicySizeFactor, , , , , , , , , , 0.0255200000, ←, , table:PolicySizeRelativity.Wind, , "(1, 2552, Cov F) = 0.02552"
AcreageFactor, , , , , , , , , , 1.0, ←, , 1, , 1
AcreageFactor, , , , , , , , , , 1.0000000000, ←, , table:Acreage.Wind, , "(1, <<1520,1520>>, Cov F) = 1"
BaseRate, , , , , , , , , , 2.2626565164197280000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, ←, , table:BaseRate.Wind, , "(1, Cov F) = 110.55"
, CONTINUE, , , , , , , , , , ×, , table:Territory Relativities.Wind, , "(1, Cov F, 47527) = 1.103"
, CONTINUE, , , , , , , , , , ×, , table:Wind Hail Exclusion.Wind, , (false) = 1
, CONTINUE, , , , , , , , , , ×, , AcreageFactor, , 1
, CONTINUE, , , , , , , , , , ×, , table:Farm_Type.Wind, , "(1, Dairy, Cov F) = 1"
, CONTINUE, , , , , , , , , , ×, , table:Farm Property Class.Wind, , "(1, Grain) = 0.8"
, CONTINUE, , , , , , , , , , ×, , table:Credit.Wind, , "(1, <<998,998>>, Cov F) = 1.027"
, CONTINUE, , , , , , , , , , ×, , table:Protection Class.Wind, , "(1, 8, Cov F) = 0.885"
, CONTINUE, , , , , , , , , , ×, , table:Age Of Equipment.Wind, , "(1, null, Other) = 1"
, CONTINUE, , , , , , , , , , ×, , table:MultipolicyDiscount.Wind, , "(1, false, false, false, false, false, false) = 1"
, CONTINUE, , , , , , , , , , ×, , PolicySizeFactor, , 0.02552
, CONTINUE, , , , , , , , , , ×, , table:All Perils Deductible.Wind, , "(1, Cov F, 1000, <<2552,2552>>) = 1"
, CONTINUE, , , , , , , , , , ×, , table:EmployeeDiscount, , "(false, 1) = 1"
BaseRate, , , , , , , , , , 2.26270000000, ←, , CostData.BaseRate, , 2.2627
, CONTINUE, , , , , , , , , , ×, , RatingInfo.IRPMFactor, , 1
BaseRate, , , , , , , , , , 2.2627000, ←, , CostData.BaseRate, , 2.2627
, CONTINUE, , , , , , , , , , +, , table:Fixed Expense.Wind, , "(1, Cov F) = 0"
AdjustedRate, , , , , , , , , , 2.2627, ←, , CostData.BaseRate, , 2.2627
TermAmount, , , , , , , , , , 2.26, ←, , CostData.BaseRate, , 2.2627
, CONTINUE, , , , , , , , , , R, , .01, , 2.26
Scheduled Farm Personal Property ( Grain ) -Water, , , , , , , , , , , , , , , 
FRM_RB_INDIANA (1), , , , , , , , , , , , , , , 
Cov_F_Water (1), , , , , , , , , , , , , , , 
AcreageFactor, , , , , , , , , , 1.0, ←, , 1, , 1
PolicySizeFactor, , , , , , , , , , 0.0364177778, ←, , table:PolicySizeRelativity.Water, , "(1, 2552, Cov F) = 0.03641778"
AcreageFactor, , , , , , , , , , 1.0000000000, ←, , table:Acreage.Water, , "(1, <<1520,1520>>, Cov F) = 1"
BaseRate, , , , , , , , , , 0.1491247797953163264000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, ←, , table:BaseRate.Water, , "(1, Cov F) = 4.26"
, CONTINUE, , , , , , , , , , ×, , table:Territory Relativities.Water, , "(1, Cov F, 47527) = 0.96"
, CONTINUE, , , , , , , , , , ×, , table:Wind Hail Exclusion.Water, , (false) = 1
, CONTINUE, , , , , , , , , , ×, , AcreageFactor, , 1
, CONTINUE, , , , , , , , , , ×, , table:Farm_Type.Water, , "(1, Dairy, Cov F) = 1"
, CONTINUE, , , , , , , , , , ×, , table:Farm Property Class.Water, , "(1, Grain) = 1"
, CONTINUE, , , , , , , , , , ×, , table:Credit.Water, , "(1, <<998,998>>, Cov F) = 1.043"
, CONTINUE, , , , , , , , , , ×, , table:Protection Class.Water, , "(1, 8, Cov F) = 1"
, CONTINUE, , , , , , , , , , ×, , table:Age Of Equipment.Water, , "(1, null, Other) = 1"
, CONTINUE, , , , , , , , , , ×, , table:MultipolicyDiscount.Water, , "(1, false, false, false, false, false, false) = 1"
, CONTINUE, , , , , , , , , , ×, , PolicySizeFactor, , 0.03641778
, CONTINUE, , , , , , , , , , ×, , table:All Perils Deductible.Water, , "(1, Cov F, 1000, <<2552,2552>>) = 0.96"
, CONTINUE, , , , , , , , , , ×, , table:EmployeeDiscount, , "(false, 1) = 1"
BaseRate, , , , , , , , , , 0.14910000000, ←, , CostData.BaseRate, , 0.1491
, CONTINUE, , , , , , , , , , ×, , RatingInfo.IRPMFactor, , 1
BaseRate, , , , , , , , , , 0.1491000, ←, , CostData.BaseRate, , 0.1491
, CONTINUE, , , , , , , , , , +, , table:Fixed Expense.Water, , "(1, Cov F) = 0"
AdjustedRate, , , , , , , , , , 0.1491, ←, , CostData.BaseRate, , 0.1491
TermAmount, , , , , , , , , , 0.15, ←, , CostData.BaseRate, , 0.1491
, CONTINUE, , , , , , , , , , R, , .01, , 0.15
Scheduled Farm Personal Property ( Combines ) -Other, , , , , , , , , , , , , , , 
FRM_RB_INDIANA (1), , , , , , , , , , , , , , , 
FarmMachineryUnderScheduledPP_Other (1), , , , , , , , , , , , , , , 
BaseRate, , , , , , , , , , 15.928000000, ←, , CoverageInfo.CoverageFOtherCost, , 318.56
, CONTINUE, , , , , , , , , , ×, , table:FPP_RC.Other, , (0) = 0.05
AdjustedRate, , , , , , , , , , 15.9280, ←, , CostData.BaseRate, , 15.928
TermAmount, , , , , , , , , , 15.93, ←, , CostData.BaseRate, , 15.928
, CONTINUE, , , , , , , , , , R, , .01, , 15.93
Scheduled Farm Personal Property ( Grain ) -Theft, , , , , , , , , , , , , , , 
FRM_RB_INDIANA (1), , , , , , , , , , , , , , , 
Cov_F_Theft (1), , , , , , , , , , , , , , , 
PolicySizeFactor, , , , , , , , , , 0.0364177778, ←, , table:PolicySizeRelativity.Theft, , "(1, 2552, Cov F) = 0.03641778"
AcreageFactor, , , , , , , , , , 1.0, ←, , 1, , 1
AcreageFactor, , , , , , , , , , 1.0000000000, ←, , table:Acreage.Theft, , "(1, <<1520,1520>>, Cov F) = 1"
BaseRate, , , , , , , , , , 1.9133822266422707844000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, ←, , table:BaseRate.Theft, , "(1, Cov F) = 61.91"
, CONTINUE, , , , , , , , , , ×, , table:Territory Relativities.Theft, , "(1, Cov F, 47527) = 0.858"
, CONTINUE, , , , , , , , , , ×, , table:Wind Hail Exclusion.Theft, , (false) = 1
, CONTINUE, , , , , , , , , , ×, , AcreageFactor, , 1
, CONTINUE, , , , , , , , , , ×, , table:Farm_Type.Theft, , "(1, Dairy, Cov F) = 1"
, CONTINUE, , , , , , , , , , ×, , table:Farm Property Class.Theft, , "(1, Grain) = 1"
, CONTINUE, , , , , , , , , , ×, , table:Credit.Theft, , "(1, <<998,998>>, Cov F) = 1.05"
, CONTINUE, , , , , , , , , , ×, , table:Protection Class.Theft, , "(1, 8, Cov F) = 1"
, CONTINUE, , , , , , , , , , ×, , table:Age Of Equipment.Theft, , "(1, null, Other) = 1"
, CONTINUE, , , , , , , , , , ×, , table:MultipolicyDiscount.Theft, , "(1, false, false, false, false, false, false) = 1"
, CONTINUE, , , , , , , , , , ×, , PolicySizeFactor, , 0.03641778
, CONTINUE, , , , , , , , , , ×, , table:All Perils Deductible.Theft, , "(1, Cov F, 1000, <<2552,2552>>) = 0.942"
, CONTINUE, , , , , , , , , , ×, , table:EmployeeDiscount, , "(false, 1) = 1"
BaseRate, , , , , , , , , , 1.91340000000, ←, , CostData.BaseRate, , 1.9134
, CONTINUE, , , , , , , , , , ×, , RatingInfo.IRPMFactor, , 1
BaseRate, , , , , , , , , , 1.9134000, ←, , CostData.BaseRate, , 1.9134
, CONTINUE, , , , , , , , , , +, , table:Fixed Expense.Theft, , "(1, Cov F) = 0"
AdjustedRate, , , , , , , , , , 1.9134, ←, , CostData.BaseRate, , 1.9134
TermAmount, , , , , , , , , , 1.91, ←, , CostData.BaseRate, , 1.9134
, CONTINUE, , , , , , , , , , R, , .01, , 1.91
Farm Personal Liability - Wind, , , , , , , , , , , , , , , 
FRM_RB_INDIANA (1), , , , , , , , , , , , , , , 
Coverage_Wind (1), , , , , , , , , , , , , , , 
PolicySizeFactor, , , , , , , , , , 1.0, ←, , 1, , 1
ContentOnlyFactor, , , , , , , , , , 1.0, ←, , 1, , 1
RateFactor, , , , , , , , , , 1.0, ←, , 1, , 1
AcreageFactor, , , , , , , , , , 1.0, ←, , 1, , 1
AcreageFactor, , , , , , , , , , 1.0000000000, ←, , table:Acreage.Wind, , "(4, <<1520,1520>>, Cov A) = 1"
ContentOnlyFactor, , , , , , , , , , 1.00000000000, ←, , ContentOnlyFactor, , 1
, CONTINUE, , , , , , , , , , ×, , table:Utility.Wind, , "(4, null, null, null) = 1"
IFactor, , , , , , , , , , 0.0, ←, , 0, , 0
JFactor, , , , , , , , , , 0.0, ←, , 0, , 0
KFactor, , , , , , , , , , 0.0, ←, , 0, , 0
MFactor, , , , , , , , , , 0.0, ←, , 0, , 0
NFactor, , , , , , , , , , 0.0, ←, , 0, , 0
OFactor, , , , , , , , , , 0.0, ←, , 0, , 0
QFactor, , , , , , , , , , 0.0, ←, , 0, , 0
SmartCameraFactor, , , , , , , , , , 0.0, ←, , 0, , 0
SmartLightFactor, , , , , , , , , , 0.0, ←, , 0, , 0
SmartSmokeAlarmFactor, , , , , , , , , , 0.0, ←, , 0, , 0
WaterLeakgDetFactor, , , , , , , , , , 0.0, ←, , 0, , 0
GasLeakgDetFactor, , , , , , , , , , 0.0, ←, , 0, , 0
GeneratorFactor, , , , , , , , , , 0.0, ←, , 0, , 0
AutTempDetFactor, , , , , , , , , , 0.0, ←, , 0, , 0
ADFactor, , , , , , , , , , 0.0, ←, , 0, , 0
CFactor, , , , , , , , , , 0.0, ←, , 0, , 0
CRFactor, , , , , , , , , , 0.0, ←, , 0, , 0
MaxCreditPerPeril, , , , , , , , , , 0E-10, ←, , table:ProtectiveDevices.Wind, , "(4, Max, Cov A) = 0"
AllDiscount, , , , , , , , , , 0.0, ←, , IFactor, , 0
, CONTINUE, , , , , , , , , , +, , JFactor, , 0
, CONTINUE, , , , , , , , , , +, , KFactor, , 0
, CONTINUE, , , , , , , , , , +, , MFactor, , 0
, CONTINUE, , , , , , , , , , +, , NFactor, , 0
, CONTINUE, , , , , , , , , , +, , OFactor, , 0
, CONTINUE, , , , , , , , , , +, , QFactor, , 0
, CONTINUE, , , , , , , , , , +, , SmartCameraFactor, , 0
, CONTINUE, , , , , , , , , , +, , SmartSmokeAlarmFactor, , 0
, CONTINUE, , , , , , , , , , +, , SmartLightFactor, , 0
, CONTINUE, , , , , , , , , , +, , AutTempDetFactor, , 0
, CONTINUE, , , , , , , , , , +, , GeneratorFactor, , 0
, CONTINUE, , , , , , , , , , +, , WaterLeakgDetFactor, , 0
, CONTINUE, , , , , , , , , , +, , GasLeakgDetFactor, , 0
, CONTINUE, , , , , , , , , , +, , ADFactor, , 0
, CONTINUE, , , , , , , , , , +, , CFactor, , 0
, CONTINUE, , , , , , , , , , +, , CRFactor, , 0
FinalFactor, , , , , , , , , , 1.0, ←, , 1, , 1
, CONTINUE, , , , , , , , , , −, , "min(AllDiscount, MaxCreditPerPeril)", , "min(0, 0) = 0"
BaseRate, , , , , , , , , , 0E-284, ←, , table:BaseRate.Wind, , "(4, Cov A) = 0"
, CONTINUE, , , , , , , , , , ×, , ContentOnlyFactor, , 1
, CONTINUE, , , , , , , , , , ×, , table:Territory Relativities.Wind, , "(4, Cov A, 47527) = 0"
, CONTINUE, , , , , , , , , , ×, , table:Wind Hail Exclusion.Wind, , (false) = 1
, CONTINUE, , , , , , , , , , ×, , table:Distance To Coast.Wind, , "(47527, null) = 1"
, CONTINUE, , , , , , , , , , ×, , AcreageFactor, , 1
, CONTINUE, , , , , , , , , , ×, , table:Farm_Type.Wind, , "(4, Dairy, Cov A) = 0"
, CONTINUE, , , , , , , , , , ×, , table:Credit.Wind, , "(4, <<998,998>>, Cov A) = 1.027"
, CONTINUE, , , , , , , , , , ×, , table:Protection Class.Wind, , "(4, 8, Cov A) = 0"
, CONTINUE, , , , , , , , , , ×, , table:Miles To Fire Department.Wind, , "(4, Within5miles, Cov A) = 0"
, CONTINUE, , , , , , , , , , ×, , table:Construction Materials for All.Wind, , "(4, Cov A, null) = 0"
, CONTINUE, , , , , , , , , , ×, , table:Farming Claims Factor.Wind, , "(4, <<1000,1000>>, Cov A, 0, 0, 0, 0, 0, 0, 0, 0) = 0"
, CONTINUE, , , , , , , , , , ×, , table:Dwelling_Age.Wind, , "(4, false, null) = 0"
, CONTINUE, , , , , , , , , , ×, , table:Dwelling Year Built Factor.Wind, , "(4, false, 1, null) = 0"
, CONTINUE, , , , , , , , , , ×, , table:AoR.Wind, , "(4, Cov A, 1, null, null, false, false) = 0"
, CONTINUE, , , , , , , , , , ×, , table:RoofShape.Wind, , "(4, null, false) = 0"
, CONTINUE, , , , , , , , , , ×, , table:RoofExclusion.Wind, , "(4, Cov A, false) = 0"
, CONTINUE, , , , , , , , , , ×, , table:MultipolicyDiscount.Wind, , "(4, false, false, false, false, false, false) = 1"
, CONTINUE, , , , , , , , , , ×, , table:Fortified.Wind, , "(4, null) = 0"
, CONTINUE, , , , , , , , , , ×, , FinalFactor, , 1
, CONTINUE, , , , , , , , , , ×, , PolicySizeFactor, , 1
, CONTINUE, , , , , , , , , , ×, , CoverageInfo.CovModLimit, , 1
, CONTINUE, , , , , , , , , , ×, , table:Brushfire.Wind, , "(4, <<0,0>>) = 0"
, CONTINUE, , , , , , , , , , ×, , table:SolidFuel.Wind, , "(4, Cov A, false, false, false, false) = 0"
, CONTINUE, , , , , , , , , , ×, , table:FoundationType.Wind, , "(4, null) = 0"
, CONTINUE, , , , , , , , , , ×, , table:ACVRoof.Wind, , "(4, false, Cov A, null) = 1"
, CONTINUE, , , , , , , , , , ×, , table:All Perils Deductible.Wind, , "(4, Cov A, null, null) = 0"
, CONTINUE, , , , , , , , , , ×, , table:WHDeductible.Wind, , "(4, false, Cov A, null, null, 1) = 0"
, CONTINUE, , , , , , , , , , ×, , table:Occupancy.Wind, , (No Dwelling) = 0
, CONTINUE, , , , , , , , , , ×, , table:EmployeeDiscount, , "(false, 4) = 1"
, CONTINUE, , , , , , , , , , ×, , RateFactor, , 1
BaseRate, , , , , , , , , , 0E-7, ←, , CostData.BaseRate, , 0
, CONTINUE, , , , , , , , , , +, , table:Fixed Expense.Wind, , "(4, Cov A) = 0"
AdjustedRate, , , , , , , , , , 0.0000, ←, , CostData.BaseRate, , 0
TermAmount, , , , , , , , , , 0.00, ←, , CostData.BaseRate, , 0
, CONTINUE, , , , , , , , , , R, , .01, , 0.00
Scheduled Farm Personal Property ( Combines ) -Theft, , , , , , , , , , , , , , , 
FRM_RB_INDIANA (1), , , , , , , , , , , , , , , 
FarmMachineryUnderScheduledPP_Theft (1), , , , , , , , , , , , , , , 
BaseRate, , , , , , , , , , 1.668500000, ←, , CoverageInfo.CoverageFTheftCost, , 33.37
, CONTINUE, , , , , , , , , , ×, , table:FPP_RC.Theft, , (0) = 0.05
AdjustedRate, , , , , , , , , , 1.6685, ←, , CostData.BaseRate, , 1.6685
TermAmount, , , , , , , , , , 1.67, ←, , CostData.BaseRate, , 1.6685
, CONTINUE, , , , , , , , , , R, , .01, , 1.67
Scheduled Farm Personal Property ( Combines ) -Water, , , , , , , , , , , , , , , 
FRM_RB_INDIANA (1), , , , , , , , , , , , , , , 
FarmMachineryUnderScheduledPP_Water (1), , , , , , , , , , , , , , , 
BaseRate, , , , , , , , , , 0.130000000, ←, , CoverageInfo.CoverageFWaterCost, , 2.6
, CONTINUE, , , , , , , , , , ×, , table:FPP_RC.Water, , (0) = 0.05
AdjustedRate, , , , , , , , , , 0.1300, ←, , CostData.BaseRate, , 0.13
TermAmount, , , , , , , , , , 0.13, ←, , CostData.BaseRate, , 0.13
, CONTINUE, , , , , , , , , , R, , .01, , 0.13
Scheduled Farm Personal Property ( Combines ) -Wind, , , , , , , , , , , , , , , 
FRM_RB_INDIANA (1), , , , , , , , , , , , , , , 
Cov_F_Wind (1), , , , , , , , , , , , , , , 
PolicySizeFactor, , , , , , , , , , 0.5236300000, ←, , table:PolicySizeRelativity.Wind, , "(1, 52363, Cov F) = 0.52363"
AcreageFactor, , , , , , , , , , 1.0, ←, , 1, , 1
AcreageFactor, , , , , , , , , , 1.0000000000, ←, , table:Acreage.Wind, , "(1, <<1520,1520>>, Cov F) = 1"
BaseRate, , , , , , , , , , 58.0326622106613525000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, ←, , table:BaseRate.Wind, , "(1, Cov F) = 110.55"
, CONTINUE, , , , , , , , , , ×, , table:Territory Relativities.Wind, , "(1, Cov F, 47527) = 1.103"
, CONTINUE, , , , , , , , , , ×, , table:Wind Hail Exclusion.Wind, , (false) = 1
, CONTINUE, , , , , , , , , , ×, , AcreageFactor, , 1
, CONTINUE, , , , , , , , , , ×, , table:Farm_Type.Wind, , "(1, Dairy, Cov F) = 1"
, CONTINUE, , , , , , , , , , ×, , table:Farm Property Class.Wind, , "(1, Combines) = 1"
, CONTINUE, , , , , , , , , , ×, , table:Credit.Wind, , "(1, <<998,998>>, Cov F) = 1.027"
, CONTINUE, , , , , , , , , , ×, , table:Protection Class.Wind, , "(1, 8, Cov F) = 0.885"
, CONTINUE, , , , , , , , , , ×, , table:Age Of Equipment.Wind, , "(1, <<0,0>>, Combines) = 1"
, CONTINUE, , , , , , , , , , ×, , table:MultipolicyDiscount.Wind, , "(1, false, false, false, false, false, false) = 1"
, CONTINUE, , , , , , , , , , ×, , PolicySizeFactor, , 0.52363
, CONTINUE, , , , , , , , , , ×, , table:All Perils Deductible.Wind, , "(1, Cov F, 1000, <<52363,52363>>) = 1"
, CONTINUE, , , , , , , , , , ×, , table:EmployeeDiscount, , "(false, 1) = 1"
BaseRate, , , , , , , , , , 58.03270000000, ←, , CostData.BaseRate, , 58.0327
, CONTINUE, , , , , , , , , , ×, , RatingInfo.IRPMFactor, , 1
BaseRate, , , , , , , , , , 58.0327000, ←, , CostData.BaseRate, , 58.0327
, CONTINUE, , , , , , , , , , +, , table:Fixed Expense.Wind, , "(1, Cov F) = 0"
AdjustedRate, , , , , , , , , , 58.0327, ←, , CostData.BaseRate, , 58.0327
TermAmount, , , , , , , , , , 58.03, ←, , CostData.BaseRate, , 58.0327
, CONTINUE, , , , , , , , , , R, , .01, , 58.03
Scheduled Farm Personal Property ( Poultry ) -Hail, , , , , , , , , , , , , , , 
FRM_RB_INDIANA (1), , , , , , , , , , , , , , , 
Cov_F_Hail (1), , , , , , , , , , , , , , , 
PolicySizeFactor, , , , , , , , , , 0.0214500000, ←, , table:PolicySizeRelativity.Hail, , "(1, 2145, Cov F) = 0.02145"
AcreageFactor, , , , , , , , , , 1.0, ←, , 1, , 1
AcreageFactor, , , , , , , , , , 1.0000000000, ←, , table:Acreage.Hail, , "(1, <<1520,1520>>, Cov F) = 1"
BaseRate, , , , , , , , , , 0.0078409167922800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, ←, , table:BaseRate.Hail, , "(1, Cov F) = 0.36"
, CONTINUE, , , , , , , , , , ×, , table:Territory Relativities.Hail, , "(1, Cov F, 47527) = 1.103"
, CONTINUE, , , , , , , , , , ×, , table:Wind Hail Exclusion.Hail, , (false) = 1
, CONTINUE, , , , , , , , , , ×, , AcreageFactor, , 1
, CONTINUE, , , , , , , , , , ×, , table:Farm_Type.Hail, , "(1, Dairy, Cov F) = 1"
, CONTINUE, , , , , , , , , , ×, , table:Farm Property Class.Hail, , "(1, Poultry) = 0.8"
, CONTINUE, , , , , , , , , , ×, , table:Credit.Hail, , "(1, <<998,998>>, Cov F) = 1.005"
, CONTINUE, , , , , , , , , , ×, , table:Protection Class.Hail, , "(1, 8, Cov F) = 1.145"
, CONTINUE, , , , , , , , , , ×, , table:Age Of Equipment.Hail, , "(1, null, Other) = 1"
, CONTINUE, , , , , , , , , , ×, , table:MultipolicyDiscount.Hail, , "(1, false, false, false, false, false, false) = 1"
, CONTINUE, , , , , , , , , , ×, , PolicySizeFactor, , 0.02145
, CONTINUE, , , , , , , , , , ×, , table:All Perils Deductible.Hail, , "(1, Cov F, 1000, <<2145,2145>>) = 1"
, CONTINUE, , , , , , , , , , ×, , table:EmployeeDiscount, , "(false, 1) = 1"
BaseRate, , , , , , , , , , 0.00780000000, ←, , CostData.BaseRate, , 0.0078
, CONTINUE, , , , , , , , , , ×, , RatingInfo.IRPMFactor, , 1
BaseRate, , , , , , , , , , 0.0078000, ←, , CostData.BaseRate, , 0.0078
, CONTINUE, , , , , , , , , , +, , table:Fixed Expense.Hail, , "(1, Cov F) = 0"
AdjustedRate, , , , , , , , , , 0.0078, ←, , CostData.BaseRate, , 0.0078
TermAmount, , , , , , , , , , 0.01, ←, , CostData.BaseRate, , 0.0078
, CONTINUE, , , , , , , , , , R, , .01, , 0.01
Scheduled Farm Personal Property ( Machinery ) -Theft, , , , , , , , , , , , , , , 
FRM_RB_INDIANA (1), , , , , , , , , , , , , , , 
Cov_F_Theft (1), , , , , , , , , , , , , , , 
PolicySizeFactor, , , , , , , , , , 0.0811233333, ←, , table:PolicySizeRelativity.Theft, , "(1, 5647, Cov F) = 0.08112333"
AcreageFactor, , , , , , , , , , 1.0, ←, , 1, , 1
AcreageFactor, , , , , , , , , , 1.0000000000, ←, , table:Acreage.Theft, , "(1, <<1520,1520>>, Cov F) = 1"
BaseRate, , , , , , , , , , 4.2622025142400938234000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, ←, , table:BaseRate.Theft, , "(1, Cov F) = 61.91"
, CONTINUE, , , , , , , , , , ×, , table:Territory Relativities.Theft, , "(1, Cov F, 47527) = 0.858"
, CONTINUE, , , , , , , , , , ×, , table:Wind Hail Exclusion.Theft, , (false) = 1
, CONTINUE, , , , , , , , , , ×, , AcreageFactor, , 1
, CONTINUE, , , , , , , , , , ×, , table:Farm_Type.Theft, , "(1, Dairy, Cov F) = 1"
, CONTINUE, , , , , , , , , , ×, , table:Farm Property Class.Theft, , "(1, Machinery) = 1"
, CONTINUE, , , , , , , , , , ×, , table:Credit.Theft, , "(1, <<998,998>>, Cov F) = 1.05"
, CONTINUE, , , , , , , , , , ×, , table:Protection Class.Theft, , "(1, 8, Cov F) = 1"
, CONTINUE, , , , , , , , , , ×, , table:Age Of Equipment.Theft, , "(1, <<1,1>>, Machinery) = 1"
, CONTINUE, , , , , , , , , , ×, , table:MultipolicyDiscount.Theft, , "(1, false, false, false, false, false, false) = 1"
, CONTINUE, , , , , , , , , , ×, , PolicySizeFactor, , 0.08112333
, CONTINUE, , , , , , , , , , ×, , table:All Perils Deductible.Theft, , "(1, Cov F, 1000, <<5647,5647>>) = 0.942"
, CONTINUE, , , , , , , , , , ×, , table:EmployeeDiscount, , "(false, 1) = 1"
BaseRate, , , , , , , , , , 4.26220000000, ←, , CostData.BaseRate, , 4.2622
, CONTINUE, , , , , , , , , , ×, , RatingInfo.IRPMFactor, , 1
BaseRate, , , , , , , , , , 4.2622000, ←, , CostData.BaseRate, , 4.2622
, CONTINUE, , , , , , , , , , +, , table:Fixed Expense.Theft, , "(1, Cov F) = 0"
AdjustedRate, , , , , , , , , , 4.2622, ←, , CostData.BaseRate, , 4.2622
TermAmount, , , , , , , , , , 4.26, ←, , CostData.BaseRate, , 4.2622
, CONTINUE, , , , , , , , , , R, , .01, , 4.26
Scheduled Farm Personal Property ( Poultry ) -Fire, , , , , , , , , , , , , , , 
FRM_RB_INDIANA (1), , , , , , , , , , , , , , , 
Cov_F_Fire (1), , , , , , , , , , , , , , , 
PolicySizeFactor, , , , , , , , , , 0.0214500000, ←, , table:PolicySizeRelativity.Fire, , "(1, 2145, Cov F) = 0.02145"
AcreageFactor, , , , , , , , , , 1.0, ←, , 1, , 1
AcreageFactor, , , , , , , , , , 1.0000000000, ←, , table:Acreage.Fire, , "(1, <<1520,1520>>, Cov F) = 1"
BaseRate, , , , , , , , , , 1.4137409458498889062500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, ←, , table:BaseRate.Fire, , "(1, Cov F) = 97.91"
, CONTINUE, , , , , , , , , , ×, , table:Territory Relativities.Fire, , "(1, Cov F, 47527) = 0.875"
, CONTINUE, , , , , , , , , , ×, , table:Wind Hail Exclusion.Fire, , (false) = 1
, CONTINUE, , , , , , , , , , ×, , AcreageFactor, , 1
, CONTINUE, , , , , , , , , , ×, , table:Farm_Type.Fire, , "(1, Dairy, Cov F) = 1"
, CONTINUE, , , , , , , , , , ×, , table:Farm Property Class.Fire, , "(1, Poultry) = 1.25"
, CONTINUE, , , , , , , , , , ×, , table:Credit.Fire, , "(1, <<998,998>>, Cov F) = 1.058"
, CONTINUE, , , , , , , , , , ×, , table:Protection Class.Fire, , "(1, 8, Cov F) = 0.587"
, CONTINUE, , , , , , , , , , ×, , table:Age Of Equipment.Fire, , "(1, null, Other) = 1"
, CONTINUE, , , , , , , , , , ×, , table:MultipolicyDiscount.Fire, , "(1, false, false, false, false, false, false) = 1"
, CONTINUE, , , , , , , , , , ×, , PolicySizeFactor, , 0.02145
, CONTINUE, , , , , , , , , , ×, , table:All Perils Deductible.Fire, , "(1, Cov F, 1000, <<2145,2145>>) = 0.991"
, CONTINUE, , , , , , , , , , ×, , table:EmployeeDiscount, , "(false, 1) = 1"
BaseRate, , , , , , , , , , 1.41370000000, ←, , CostData.BaseRate, , 1.4137
, CONTINUE, , , , , , , , , , ×, , RatingInfo.IRPMFactor, , 1
BaseRate, , , , , , , , , , 1.4137000, ←, , CostData.BaseRate, , 1.4137
, CONTINUE, , , , , , , , , , +, , table:Fixed Expense.Fire, , "(1, Cov F) = 0"
AdjustedRate, , , , , , , , , , 1.4137, ←, , CostData.BaseRate, , 1.4137
TermAmount, , , , , , , , , , 1.41, ←, , CostData.BaseRate, , 1.4137
, CONTINUE, , , , , , , , , , R, , .01, , 1.41
Scheduled Farm Personal Property ( Grain ) -Hurricane, , , , , , , , , , , , , , , 
FRM_RB_INDIANA (1), , , , , , , , , , , , , , , 
Cov_F_Hurricane (1), , , , , , , , , , , , , , , 
AcreageFactor, , , , , , , , , , 1.0, ←, , 1, , 1
AcreageFactor, , , , , , , , , , 1.0000000000, ←, , table:Acreage.Hurricane, , "(1, <<1520,1520>>, Cov F) = 1"
PolicySizeFactor, , , , , , , , , , 0.0255200000, ←, , table:PolicySizeRelativity.Hurricane, , "(1, 2552, Cov F) = 0.02552"
BaseRate, , , , , , , , , , 0.0507197342080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, ←, , table:BaseRate.Hurricane, , "(1, Cov F) = 2.36"
, CONTINUE, , , , , , , , , , ×, , table:Territory Relativities.Hurricane, , "(1, Cov F, 47527) = 1.025"
, CONTINUE, , , , , , , , , , ×, , table:Wind Hail Exclusion.Hurricane, , (false) = 1
